org.fujion/fujion-archetype-parent
org.fujion/fujion-archetype-fsp 0
org.fujion/fujion-archetype-component 0
org.fujion/fujion-archetype-angular 0
org.fujion/fujion-angular-parent
org.fujion/fujion-angular-example 0
org.fujion/fujion-angular-core 1
org.dmfs/optional 0
org.dmfs/jems 218
org.dmfs/jems-testing 41
org.dmfs/iterators 0
org.dmfs/essentials 0
org.cryptomator/webdav-nio-adapter 69
org.cryptomator/cryptofs 266
org/bridje
org.beykery/jkcp 15
net.saliman/gradle-cobertura-plugin 66
net.kyori/version 11
net.kyori/lunar 51
net.kyori/bunny 21
net/jangaroo
name.remal.test/common 2
name.remal/common 1708
name.remal/common-kotlin 89
me.vertretungsplan/parser 90
me.ele.openapi/eleme-openapi-sdk 586
lv.ctco.cukes/cukes
lv.ctco.cukes/cukes-soap-sample 8
lv.ctco.cukes/cukes-samples
lv.ctco.cukes/cukes-rest 6
lv.ctco.cukes/cukes-rest-sample 15
lv.ctco.cukes/cukes-rest-loadrunner 23
lv.ctco.cukes/cukes-rabbitmq 21
lv.ctco.cukes/cukes-rabbitmq-sample 6
lv.ctco.cukes/cukes-plugin-sample 0
lv.ctco.cukes/cukes-ldap 12
lv.ctco.cukes/cukes-ldap-sample 2
lv.ctco.cukes/cukes-http 32
lv.ctco.cukes/cukes-graphql 7
lv.ctco.cukes/cukes-graphql-sample 0
lv.ctco.cukes/cukes-documentation-generator 4
lv.ctco.cukes/cukes-core 56
lt.saltyjuice.dragas.utility/kommander 23
it.unife.endif.ml/bundle 38
it.lucichkevin/cip-library
io.zbus/zbus 130
io.vavr/vavr 387
io.vavr/vavr-test 27
io.vavr/vavr-parent
io.vavr/vavr-match 2
io.vavr/vavr-gwt 0
io.spring.gradle/spring-release-plugin 30
io/mangoo
io.gravitee.am.repository/gravitee-am-repository
io.gravitee.am.repository/gravitee-am-repository-mongodb 94
io.gravitee.am.repository/gravitee-am-repository-api 52
io.gravitee.am.model/gravitee-am-model 83
io.gravitee.am.identityprovider/gravitee-am-identityprovider
io.gravitee.am.identityprovider/gravitee-am-identityprovider-ldap 19
io.gravitee.am.identityprovider/gravitee-am-identityprovider-inline 8
io.gravitee.am.identityprovider/gravitee-am-identityprovider-api 27
io.gravitee.am/gravitee-am-webui
io.gravitee.am/gravitee-am-parent
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone-distribution
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone-distribution-zip
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone-container 14
io.gravitee.am.gateway.standalone/gravitee-am-gateway-standalone-bootstrap 1
io.gravitee.am.gateway.services/gravitee-am-gateway-services
io.gravitee.am.gateway.services/gravitee-am-gateway-services-sync 3
io.gravitee.am.gateway.services/gravitee-am-gateway-services-localregistry 2
io.gravitee.am.gateway.services/gravitee-am-gateway-services-core 4
io.gravitee.am.gateway.identityprovider/gravitee-am-gateway-identityprovider 16
io.gravitee.am.gateway.handlers/gravitee-am-gateway-handlers
io.gravitee.am.gateway.handlers/gravitee-am-gateway-handlers-spring 1
io.gravitee.am.gateway.handlers/gravitee-am-gateway-handlers-management 54
io.gravitee.am.gateway/gravitee-am-gateway
io.gravitee.am.gateway/gravitee-am-gateway-service 5
io.gravitee.am.gateway/gravitee-am-gateway-repository 4
io.gravitee.am.gateway/gravitee-am-gateway-jetty 10
io.gravitee.am.gateway/gravitee-am-gateway-definition 14
io.gravitee.am.gateway/gravitee-am-gateway-core 4
io.gravitee.am.gateway.extensiongrant/gravitee-am-gateway-extensiongrant 10
io.gravitee.am.gateway.certificate/gravitee-am-gateway-certificate 11
io.gravitee.am.extensiongrant/gravitee-am-extensiongrant
io.gravitee.am.extensiongrant/gravitee-am-extensiongrant-jwtbearer 3
io.gravitee.am.extensiongrant/gravitee-am-extensiongrant-api 4
io.gravitee.am.certificate/gravitee-am-certificate
io.gravitee.am.certificate/gravitee-am-certificate-javakeystore 3
io.gravitee.am.certificate/gravitee-am-certificate-api 8
io.github.openfeign.form/parent
io.github.openfeign.form/feign-form 22
io.github.openfeign.form/feign-form-spring 6
io.github.jhipster/jhipster 109
io.github.jhipster/jhipster-dependencies
io.github.javathought.commons/dates 2
io.github.javathought.commons/commons
io.flux-capacitor/metrics 2
io.flux-capacitor/java-client 204
io.flux-capacitor/flux-capacitor-client
io.flux-capacitor/common 93
io.flux-capacitor/axon-client 22
io/atomicbits
info.laht.threekt/wrapper 0
hk.jerry.spg/processor 20
hk.jerry.spg/core
ga.rugal/maven
fi.metatavu.kykyapi/kykyapi-spec 51
eu.fbk.utils/utils
eu.fbk.utils/utils-wikipedia 3
eu.fbk.utils/utils-vocab 9
eu.fbk.utils/utils-twm 6
eu.fbk.utils/utils-svm 37
eu.fbk.utils/utils-mylibsvm 38
eu.fbk.utils/utils-math 13
eu.fbk.utils/utils-lsa 55
eu.fbk.utils/utils-gson 4
eu.fbk.utils/utils-eval 21
eu.fbk.utils/utils-data 15
eu.fbk.utils/utils-corenlp 20
eu.fbk.utils/utils-core 78
eu.fbk.utils/utils-analysis 14
eu.fbk.fcw/fcw
eu.fbk.fcw/fcw-wnpos 4
eu.fbk.fcw/fcw-wikipedia 3
eu.fbk.fcw/fcw-utils 10
eu.fbk.fcw/fcw-ukb 8
eu.fbk.fcw/fcw-udpipe-api 9
eu.fbk.fcw/fcw-treetagger 2
eu.fbk.fcw/fcw-stemmer 23
eu.fbk.fcw/fcw-semafor 10
eu.fbk.fcw/fcw-semafor-translate 15
eu.fbk.fcw/fcw-pos 5
eu.fbk.fcw/fcw-ner 4
eu.fbk.fcw/fcw-mst-api 2
eu.fbk.fcw/fcw-mate 12
eu.fbk.fcw/fcw-linking 10
eu.fbk.fcw/fcw-languagetool-api 8
eu.fbk.fcw/fcw-geoloc 7
eu.fbk.fcw/fcw-depparse 5
eu.fbk.dh/aligner 3
de.otto.edison/eventsourcing-core 73
de.devland.esperandro/esperandro 22
de.devland.esperandro/esperandro-parent
de.devland.esperandro/esperandro-jackson-addon 1
de.devland.esperandro/esperandro-gson-addon 1
de.devland.esperandro/esperandro-api 13
com.zaxxer/HikariCP 74
com.vladmihalcea.flexy-pool/flexy-vibur 2
com.vladmihalcea.flexy-pool/flexy-tomee 0
com.vladmihalcea.flexy-pool/flexy-tomcatcp 2
com.vladmihalcea.flexy-pool/flexy-tests
com.vladmihalcea.flexy-pool/flexy-pool-parent
com.vladmihalcea.flexy-pool/flexy-pool-core 65
com.vladmihalcea.flexy-pool/flexy-java-ee 1
com.vladmihalcea.flexy-pool/flexy-hikaricp 2
com.vladmihalcea.flexy-pool/flexy-glassfish 0
com.vladmihalcea.flexy-pool/flexy-druid 2
com.vladmihalcea.flexy-pool/flexy-dropwizard-metrics 11
com.vladmihalcea.flexy-pool/flexy-dbcp 2
